age,job,default,balance,housing,loan,month,duration,campaign,previous,poutcome,y
58,4,0,2143,1,0,8,261,1,0,3,0
44,9,0,29,1,0,8,151,1,0,3,0
33,2,0,2,1,1,8,76,1,0,3,0
47,1,0,1506,1,0,8,92,1,0,3,0
33,11,0,1,0,0,8,198,1,0,3,0
35,4,0,231,1,0,8,139,1,0,3,0
28,4,0,447,1,1,8,217,1,0,3,0
42,2,1,2,1,0,8,380,1,0,3,0
58,5,0,121,1,0,8,50,1,0,3,0
43,9,0,593,1,0,8,55,1,0,3,0
41,0,0,270,1,0,8,222,1,0,3,0
29,0,0,390,1,0,8,137,1,0,3,0
53,9,0,6,1,0,8,517,1,0,3,0
58,9,0,71,1,0,8,71,1,0,3,0
57,7,0,162,1,0,8,174,1,0,3,0
51,5,0,229,1,0,8,353,1,0,3,0
45,0,0,13,1,0,8,98,1,0,3,0
57,1,0,52,1,0,8,38,1,0,3,0
60,5,0,60,1,0,8,219,1,0,3,0
33,7,0,0,1,0,8,54,1,0,3,0
28,1,0,723,1,1,8,262,1,0,3,0
56,4,0,779,1,0,8,164,1,0,3,0
32,1,0,23,1,1,8,160,1,0,3,0
25,7,0,50,1,0,8,342,1,0,3,0
40,5,0,0,1,1,8,181,1,0,3,0
44,0,0,-372,1,0,8,172,1,0,3,0
39,4,0,255,1,0,8,296,1,0,3,0
52,2,0,113,1,1,8,127,1,0,3,0
46,4,0,-246,1,0,8,255,2,0,3,0
36,9,0,265,1,1,8,348,1,0,3,0
57,9,0,839,0,1,8,225,1,0,3,0
49,4,0,378,1,0,8,230,1,0,3,0
60,0,0,39,1,1,8,208,1,0,3,0
59,1,0,0,1,0,8,226,1,0,3,0
51,4,0,10635,1,0,8,336,1,0,3,0
57,9,0,63,1,0,8,242,1,0,3,0
25,1,0,-7,1,0,8,365,1,0,3,0
53,9,0,-3,0,0,8,1666,1,0,3,0
36,0,0,506,1,0,8,577,1,0,3,0
37,0,0,0,1,0,8,137,1,0,3,0
44,7,0,2586,1,0,8,160,1,0,3,0
50,4,0,49,1,0,8,180,2,0,3,0
60,1,0,104,1,0,8,22,1,0,3,0
54,5,0,529,1,0,8,1492,1,0,3,0
58,5,0,96,1,0,8,616,1,0,3,0
36,0,0,-171,1,0,8,242,1,0,3,0
58,6,0,-364,1,0,8,355,1,0,3,0
44,9,0,0,1,0,8,225,2,0,3,0
55,9,0,0,0,0,8,160,1,0,3,0
29,4,0,0,1,0,8,363,1,0,3,0
54,1,0,1291,1,0,8,266,1,0,3,0
48,4,0,-244,1,0,8,253,1,0,3,0
32,4,0,0,1,0,8,179,1,0,3,0
42,0,0,-76,1,0,8,787,1,0,3,0
24,9,0,-103,1,1,8,145,1,0,3,0
38,2,0,243,0,1,8,174,1,0,3,0
38,4,0,424,1,0,8,104,1,0,3,0
47,1,0,306,1,0,8,13,1,0,3,0
40,1,0,24,1,0,8,185,1,0,3,0
46,7,0,179,1,0,8,1778,1,0,3,0
32,0,0,0,1,0,8,138,1,0,3,0
53,9,0,989,1,0,8,812,1,0,3,0
57,1,0,249,1,0,8,164,1,0,3,0
33,7,0,790,1,0,8,391,1,0,3,0
49,1,0,154,1,0,8,357,1,0,3,0
51,4,0,6530,1,0,8,91,1,0,3,0
60,5,0,100,0,0,8,528,1,0,3,0
59,4,0,59,1,0,8,273,1,0,3,0
55,9,0,1205,1,0,8,158,2,0,3,0
35,1,0,12223,1,1,8,177,1,0,3,0
57,1,0,5935,1,1,8,258,1,0,3,0
31,7,0,25,1,1,8,172,1,0,3,0
54,4,0,282,1,1,8,154,1,0,3,0
55,1,0,23,1,0,8,291,1,0,3,0
43,9,0,1937,1,0,8,181,1,0,3,0
53,9,0,384,1,0,8,176,1,0,3,0
44,1,0,582,0,1,8,211,1,0,3,0
55,7,0,91,0,0,8,349,1,0,3,0
49,7,0,0,1,1,8,272,1,0,3,0
55,7,1,1,1,0,8,208,1,0,3,0
45,0,0,206,1,0,8,193,1,0,3,0
47,7,0,164,0,0,8,212,1,0,3,0
42,9,0,690,1,0,8,20,1,0,3,0
59,0,0,2343,1,0,8,1042,1,0,3,1
46,6,0,137,1,1,8,246,1,0,3,0
51,1,0,173,1,0,8,529,2,0,3,0
56,0,0,45,0,0,8,1467,1,0,3,1
41,9,0,1270,1,0,8,1389,1,0,3,1
46,4,0,16,1,1,8,188,2,0,3,0
57,5,0,486,1,0,8,180,2,0,3,0
42,4,0,50,0,0,8,48,1,0,3,0
30,9,0,152,1,1,8,213,2,0,3,0
60,0,0,290,1,0,8,583,1,0,3,0
60,1,0,54,1,0,8,221,1,0,3,0
57,2,0,-37,0,0,8,173,1,0,3,0
36,4,0,101,1,1,8,426,1,0,3,0
55,1,0,383,0,0,8,287,1,0,3,0
60,5,0,81,1,0,8,101,1,0,3,0
39,9,0,0,1,0,8,203,1,0,3,0
46,4,0,229,1,0,8,197,1,0,3,0
44,1,0,-674,1,0,8,257,1,0,3,0
53,1,0,90,0,0,8,124,1,0,3,0
52,1,0,128,1,0,8,229,1,0,3,0
59,1,0,179,1,0,8,55,3,0,3,0
27,9,0,0,1,0,8,400,1,0,3,0
44,1,0,54,1,0,8,197,1,0,3,0
47,9,0,151,1,0,8,190,1,0,3,0
34,0,0,61,0,1,8,21,1,0,3,0
59,5,0,30,1,0,8,514,1,0,3,0
45,4,0,523,1,0,8,849,2,0,3,0
29,7,0,31,1,0,8,194,1,0,3,0
46,9,0,79,0,0,8,144,1,0,3,0
56,6,0,-34,1,1,8,212,2,0,3,0
36,1,0,448,1,0,8,286,1,0,3,0
59,5,0,81,1,0,8,107,1,0,3,0
44,1,0,144,1,0,8,247,2,0,3,0
41,0,0,351,1,0,8,518,1,0,3,0
33,4,0,-67,1,0,8,364,1,0,3,0
59,4,0,262,0,0,8,178,1,0,3,0
